id,filename,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,centroid_1,bandwidth_1,rolloff_1,zcr_1
0628,0628_Ephemeral(2).mp3,[123.046875],-232.74568,123.005714,-10.574321,16.98138,0.16583367,-12.056271,8.967554,-9.03284,-12.424324,3.9512277,-14.029735,0.29758424,-6.4798903,0.0463082,0.014889735,-0.010638438,0.0015126597,-0.001012881,-0.004410685,0.0012444544,-0.0007625461,-0.0007453834,0.0032711192,-0.0042683044,-0.0004207425,-0.0007628437,0.147316,0.47469574,0.28610837,0.11045458,0.3211784,0.13104792,0.21783829,0.085995875,0.27858394,0.39826044,0.10047203,0.31670302,1643.4803713357908,1865.8499803764244,3129.313811549901,0.0718557011112029
0824,0824_Freefall(2).mp3,[117.45383523],-231.03705,129.36148,45.60671,16.843258,16.323778,-1.746336,6.7364764,-8.511595,0.7403894,2.041023,-3.5662405,0.81326395,-2.3110003,-0.014683982,0.004695044,0.0021750813,0.0012915988,0.0014401331,0.00018892906,0.001181425,0.0071721803,0.0002721271,-6.362088e-05,-0.0020086053,0.00082445383,0.0028762575,0.031295955,0.13554162,0.34298882,0.038335443,0.18325627,0.037306715,0.13547875,0.2791718,0.07327447,0.5196003,0.0539973,0.12945844,1488.716285653649,2046.600323182546,3487.9049119542365,0.04398044684806874
1776,1776_Static(2).mp3,[143.5546875],-114.46519,72.2566,-7.9599023,19.928925,14.850283,14.609958,5.4109263,11.260024,6.728673,11.196779,2.416495,5.947135,0.1767989,0.04130812,-0.01612155,-0.005109138,0.0014024571,0.00033189752,0.00058494345,-0.00093887514,-1.0855586e-05,-0.001664198,0.0006268466,-0.0020005053,-0.0024562683,0.0022314512,0.5112141,0.40758312,0.31739035,0.3305057,0.29775965,0.28949693,0.54372543,0.34592664,0.2658949,0.25484607,0.31381437,0.7889637,2618.4890900083296,2577.0492573682673,5648.912030980862,0.10450767855712226
0749,0749_Fever.mp3,[112.34714674],-143.48009,63.791782,12.533316,20.855024,12.616307,10.38705,5.949603,5.975439,2.3560631,6.1609755,-2.6532629,2.1239214,-4.0849414,0.18301351,0.022466071,-0.0076123583,0.00682328,-0.004420776,0.0021659671,-0.00591907,-0.0025086647,-0.0061808405,-0.0031515004,-0.005402578,-0.0009926533,-0.003160296,0.22401093,0.25987816,0.45455748,0.34533972,0.59882957,0.25488976,0.23838682,0.26065552,0.21930291,0.31819144,0.22708674,0.3743446,2758.0865393251793,2831.201281042457,6176.638650857513,0.11346665425634128
1638,1638_Silent Heart(1).mp3,[143.5546875],-221.19016,108.15336,42.686283,12.799991,15.369437,2.5934212,2.8315165,-5.673002,-5.052362,3.885443,-7.375876,-0.56399286,-7.9019237,0.1422388,0.042796835,-0.040804014,-0.010260615,-0.010138425,-0.006636638,-0.003452045,-0.0046958444,-0.008072986,-0.006416638,-0.0002864498,0.004404007,0.004289913,0.36244208,0.07211659,0.265525,0.24108645,0.07863704,0.22414194,0.100084856,0.42090616,0.20954448,0.10645491,0.19608247,0.14865486,1919.7907936499846,2406.6467584200177,4556.433680625215,0.06115186683193855
0446,0446_Disconnected(5).mp3,[103.359375],-170.32362,60.24594,14.568129,13.6427355,11.482457,1.5395212,4.932117,-2.2664742,4.9634924,3.1415927,-4.318696,3.0316563,1.5420628,-0.030539455,-0.02608168,0.017864956,0.010294739,0.00033693286,0.0076120826,-0.0024439977,-0.0036849945,-0.0012658476,-0.003223903,-0.0037122613,-0.00012470286,-5.2264426e-05,0.27373937,0.1562622,0.22802225,0.20868896,0.42514074,0.33778435,0.22008333,0.23598559,0.274809,0.45014244,0.21042736,0.2571165,2787.8452046362286,2860.521681723893,6301.183545316897,0.09728939500527611
0699,0699_Eye of Peace.mp3,[92.28515625],-149.81866,79.41185,17.459099,16.788345,17.990524,10.134875,3.8601959,5.5377593,1.8362807,7.773447,0.8290655,3.4260128,-2.697043,0.18347375,0.06057842,-0.01019421,0.019352999,-0.002956777,0.003232346,-0.0023768481,-0.0074159,-0.0050477455,-0.0035173292,-0.004352675,-0.002486366,-0.0058774655,0.14416394,0.17954876,0.270969,0.12205824,0.23182283,0.16910559,0.4053972,0.37991115,0.19826463,0.23902957,0.18263333,0.47744837,2538.0227804213764,2821.576289639965,5932.715550199468,0.07812310030395136
0506,0506_Echoes(22).mp3,[117.45383523],-250.12689,112.27921,56.91835,23.962223,16.252441,3.5316732,7.4012837,-8.173334,-0.034627523,1.30389,-4.901409,0.19142815,-8.719546,0.031622324,0.0012509577,-0.002966145,-0.0012364627,-8.2982784e-05,0.0020505027,0.0019476343,-0.0065739285,-0.0010160605,0.0012534908,-0.003917211,-0.002593402,-0.0052534523,0.065682255,0.14516848,0.37139037,0.063470505,0.12243968,0.060067926,0.28831467,0.33369628,0.06682177,0.17709278,0.062410828,0.3519917,1604.9940680958002,2173.2983272436395,3738.571319436263,0.04624287801733166
0780,0780_Float.mp3,[123.046875],-132.87172,109.37733,-8.99319,18.56596,8.492363,6.029392,1.9658145,2.5242352,-8.872286,1.2950028,-5.134679,-2.8582137,-8.873122,0.013831272,-0.005109576,-0.0012320086,-0.00056675135,-0.003135578,-0.0012414932,-0.0027367694,-0.00303238,-0.0008358023,-0.00078866916,-0.0018807295,-0.0024152314,-0.0030830852,0.3450248,0.19025223,0.45851088,0.1585768,0.37356198,0.25701162,0.26249143,0.49926588,0.20006551,0.4101345,0.14431185,0.34894082,1978.3731499326755,2286.6829174549343,4144.29844086209,0.08354839292118266
1053,1053_Left on Seen.mp3,[123.046875],-184.43796,116.92766,16.294716,5.7897315,10.263466,-5.5822206,3.4075572,-12.079378,-1.5921241,-3.2954924,-8.677353,0.47412258,-14.562082,0.0022882782,-0.015626825,0.006485361,-0.0037840141,-0.0021909208,0.0031652788,-0.0005463158,-0.0046629324,-0.001254343,0.0027861795,-0.003416461,-0.0022380508,-0.0033069137,0.19734442,0.06998342,0.32905665,0.060429066,0.25661406,0.05313509,0.17814997,0.37960723,0.06276332,0.20183857,0.06376031,0.35564858,1889.1605647299602,2246.899969661057,3996.2375803855125,0.07179799469307734
